Job Title,Salary Estimate,Job Description,Rating,Reliabilty,Company Name,City,State Name,Headquarters,Size,Founded,Company age,Type of ownership,Industry,Sector,Revenue
Sr Data Scientist,$137K-$171K (Glassdoor est.),"Description

The Senior Data Scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as Clinical, Enrollment, Claims, and Finance. As part of the broader analytics team, Data Scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. This position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques.

Duties & Responsibilities:

• Develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains
• Investigates, recommends, and initiates acquisition of new data resources from internal and external sources
• Works with multiple teams to support data collection, integration, and retention requirements based on business needs
• Identifies critical and emerging technologies that will support and extend quantitative analytic capabilities
• Collaborates with business subject matter experts to select relevant sources of information
• Develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation
• Develops expertise with Healthfirst datasets, data repositories, and data movement processes
• Assists on projects/requests and may lead specific tasks within the project scope
• Prepares and manipulates data for use in development of statistical models
• Other duties as assigned

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement

]]>",3.1,Very Good,"Healthfirst
3.1",New York,NY,"New York, NY",5000,1993,31,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Scientist,$137K-$171K (Glassdoor est.),"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,Very Good,"INFICON
3.5",Newton,MA,"Bad Ragaz, Switzerland",1000,2000,24,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Scientist,$137K-$171K (Glassdoor est.),"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",2.9,Very Good,"Affinity Solutions
2.9",New York,NY,"New York, NY",200,1998,26,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Staff Data Scientist - Analytics,$137K-$171K (Glassdoor est.),"Intuit is seeking a Staff Data Scientist to cover Intuits Consumer Group (TurboTax, Mint, Turbo). We have an exciting opportunity to help shape how we use data to generate hypotheses, surface insights, and build models in order to personalize customer experiences and provide awesome outcomes for the business and our customers. This role will partner closely with data engineering, data analytics, data science, marketing managers, and product management.",4.4,Excellent,"Intuit - Data
4.4",San Diego,CA,"Mountain View, CA",10000,1983,41,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD)
Data Scientist,$137K-$171K (Glassdoor est.),"Join our team dedicated to developing and executing innovative solutions in support of customer mission success.

Job Description:

Novetta is seeking a Data Scientist who wants to develop innovative solutions for customers and internal product teams. We look to rapidly prototype solutions and deploy the most promising of them. We identify and leverage the latest techniques (fast.ai is a team favorite) so that our customers can stay one step ahead. On every project you'll learn something new (and likely teach us something as well). If that sounds appealing to you - we'd love to chat.

Responsibilities include:
Develop solutions spanning multiple subject areas, from NLP to Image and Video.
Maintain awareness of state-of-the-art machine learning and techniques, methods and platforms, including commercial and open source.
Implement, configure and test machine learning and deep learning libraries and platforms (e.g. fast.ai, TensorFlow, Keras, XGBoost, LightGBM).
Test solutions on AWS using services such as SageMaker, EC2, and Snowball Edge.
Write blog posts and presentations that clearly communicate complex machine learning concepts to both technical and non-technical audiences.
Contribute to visually-appealing, web-enabled prototype applications that illustrate relevant machine learning capabilities.
Basic Qualifications:
Experience with Python
Experience with machine learning or statistics
Ability to work both independently and collaboratively.
High levels of curiosity, creativity, and problem-solving capabilities.
Strong written and verbal communication skills.
Comfortable navigating the command line.
Desired Skills:
Research experience in Machine Learning specific to Natural Language Processing, Computer Vision, or deep learning.
Experience with managing data and creating algorithms using AWS.
Experience with R, Java, or other programming languages.
Security Clearance:
Must be eligible to obtain and maintain a TS/SCI with Poly clearance

Novetta, from complexity to clarity.

Novetta delivers highly scalable advanced analytics and secure technology solutions to address challenges of national and global significance. Focused on mission success, Novetta pioneers disruptive technologies in machine learning, data analytics, full-spectrum cyber, cloud engineering, open source analytics, and multi-INT fusion for Defense, Intelligence Community, and Federal Law Enforcement customers. Novetta is headquartered in McLean, VA with over 1,000 employees across the U.S.

Our culture is shaped by a commitment to our core values:

Integrity • We hold ourselves accountable to the highest standards of integrity and ethics.

Customer Success • We strive daily to exceed expectations and achieve customer mission success.

Employee Focus • We invest in our employees' professional development and training, respecting individuality and fostering a culture of diversity and inclusion.

Innovation • We know that discovering new and innovative ways to solve problems is critical to our success and makes us a great company.

Excellence in Execution • We take pride in flawless execution as we build a company that is best in class.


Earn a REFERRAL BONUS for the qualified people you know.
For more details or to submit a referral, visit bit.ly/NovettaReferrals.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",4.5,Excellent,"Novetta
4.5",Herndon,VA,"Mc Lean, VA",1000,2012,12,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Scientist,$137K-$171K (Glassdoor est.),"About Us


Interested in working for a human-centered technology company that prides itself on using modern tools and technologies? Want to be surrounded by intensely curious and innovative thinkers?

Seeking to solve complex technical challenges by building products that work for people, meet and exceed the needs of businesses, and work elegantly and efficiently?

Modeling ourselves after the 1904 World's Fair, which brought innovation to the region, 1904labs is seeking top technical talent in St. Louis to bring innovation and creativity to our clients.

Our clients consist of Fortune 500 and Global 2000 companies headquartered here in St. Louis. We partner with them on complex projects that range from reimagining and refactoring their existing applications, to helping to envision and build new applications or data streams to operationalize their existing data. Working in a team-based labs model, using our own flavor of #HCDAgile, we strive to work at the cutting edge of technology's capabilities while solving problems for our clients and their users.

The Role


As a Data Scientist with 1904labs, you will be working with other data scientists, data engineers, and developers to provide analytical services to clients. You will leverage the clients' data assets to answer business questions using best practices and innovative approaches. This will mean employing various data science tools (Python, apache spark, TensorFlow) and techniques (dimensionality reduction, unsupervised learning, supervised learning) to create and test machine learning algorithms. Once tested and verified you will work with development teams to implement the algorithm as a scalable, hosted service.

We're looking for an experienced and creative data scientist who can conceptualize a project from start to finish, identifying the appropriate data and methodologies to use. Our Data Scientists work with open-source machine learning packages and libraries, so this position involves building custom ML/AI utilities from open-source resources in languages such as Python (preferred) and R. In this role, you will own and share technical solutions with both technical and non-technical stakeholders across multiple teams both internally and with external clients.

Responsibilities
Perform data analysis to understand the right combinations of data to meet outlined objectives
Translate client queries into actionable data pulls and help translate outputs into client strategies
Build and evaluate predictive modeling & machine learning utilities to produce meaningful outcomes that enable data-led decisions
Translate analysis results into actionable insights
Present insights to both technical and non-technical audiences
Partner with internal data scientists, developers, and tech teams to develop new methodologies and utilities
Work with development teams to implement data science algorithms as scalable, hosted services
Your Skills
Requirements
Background in math including linear algebra, statistics, probability, and numerical analysis.
Machine Learning Analysis: Must be able to execute, evaluate, and apply various models such as logistic regression, random forests/decision tree, nearest neighbor, neural net, support vector machine, an ensemble of multiple models, etc
Programming: Proficient coding in a language suited for machine learning systems such as Python or R (not reliant on GUI-based systems to execute analysis) for the purpose of cleaning, manipulating, visualizing, and analyzing data
Desired Skills
Experience with software engineering and developing deployable API services
Must be adaptable and have the drive to learn new technologies and frameworks to support developing client solutions
Using browser based interactive computational environments (like Jupyter Notebook) to perform analysis activities and test / evaluate data models and algorithms.
Tools: Spark, Pandas, SciKit-Learn, TensorFlow, Keras, SQL
Communication: Must be able to explain analysis process and translate results into actionable insights for both technical and non-technical audiences
Teamwork: Must be accountable for individual responsibilities while working collaboratively with development and engineering teams to achieve project deliverables
Comfort in an agile development environment (eg. writing stories, participating in workshops, sprint planning and retros)
Perks
Benefits Program (medical, dental, life insurance, 401(k), professional and personal development, PTO)
Innovation Time - we allow 10% of your time to be devoted to innovation hours. This time can be used to foster individual ideas, personal projects, start up ideas, improve an open source tool or for career advancement and self-education. All during traditional working hours.
Dress Code - we don't have one
These roles are located in St. Louis, MO. While we would prefer local candidates your location is not the most important factor; please help us understand why you would like to call St. Louis home if you would be relocating.

]]>",4.7,Excellent,"1904labs
4.7",Saint Louis,MO,"Saint Louis, MO",200,2016,8,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Data Scientist - Statistics, Early Career",$137K-$171K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.7,Excellent,"PNNL
3.7",Richland,WA,"Richland, WA",5000,1965,59,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD)
Data Analyst II,$137K-$171K (Glassdoor est.),"The Data Analyst II is responsible for data entry and maintenance for our integrated enterprise system (SAP). As part of the Data Integrity team, this position is responsible for the accurate entry of data into SAP. The Data Integrity team is responsible for the efficient and effective management of part master data. This will require an individual with exceptional attention to detail, intermediate to advanced computer skills, in-depth knowledge of our business, products and processes.

WORK PERFORMED

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required.

Essential Functions of the Job:

Product Data – Responsible for managing product information levels to established standards
Maintain data to meet company standards
Data includes images, technical specifications and other data elements
Ensure automated data feeds successfully populate materials
Manually populate non-automated data as necessary via proprietary system
Identify system enhancements to improve automated processes and quality of information
Perform audits to ensure accuracy of assigned manufacturers or categories
Communicate with providers and manufacturers to ensure complete product data is supplied
Request necessary information
Identify areas of improvement and provide feedback
Review data standards for assigned manufacturers and/or categories
Implement data standard improvements through manual and automated means to meet needs
Provide customer service support for both external and internal customers
Support and validate teammate adherence to master data policies.
Material Maintenance – Responsible for maintaining product catalog to established standards; Performing Price File Maintenance
Review automated data feeds for successful materials creation
Ensure materials are created correctly via download process
Identify and communicate reasons for automated failures to improve process
Manually process download failures
Determine if Sales requests meet Insight Catalog Policy
Review opportunities and determine if it is appropriate business for Insight
Provide guidance to address future opportunities
Ensure materials are not added to the catalog that do not fit Insight strategy
Manually create non-automated materials proactively or reactively according to company policy
Create materials via proprietary systems and/or SAP
Determine appropriate source, costing and categorization
Process internal requests for creation
Discontinue materials that are no longer available and/or based on company policy
Other projects – Responsible for completing additional projects and assignments as required by the department
All other assigned duties
MINIMUM REQUIREMENTS

Education and/or Experience:

Associates degree or above from a college or university; or 3 years industry work experience.

KNOWLEDGE, SKILLS, AND ABILITIES

Following are the skills, knowledge and abilities necessary to perform this job
Advanced spreadsheet skills
Ability to analyze and troubleshoot information for resolution
Ability to work well in cross-functional teams
Ability to multi-task in a fast-paced environment
Ability to meet aggressive service-level agreements
Ability to take a complex process or technology and create easy-to-follow copy
Excellent written and verbal communication, with strong editing skills
Knowledge of AP style
Vast knowledge of technical writing and styles associated with it
Collaborating with marketing and IT on search engine relevancy as it relates to parts data’s influence
Proficiency with MS Word, Excel, Outlook and SAP.
Ability to write reports and/or business correspondence.
Ability to effectively present information and respond to questions from groups of managers, customers, other employees.
Ability to effectively present information to other departments and manufacturer representatives.
Ability to read, analyze, and interpret business documents.
Ability to effectively communicate via email, phone and in person.
Ability to understand processes and identify areas of improvement.
Ability to multi-task and demonstrate strong organizational details.",4.2,Excellent,"Insight Enterprises, Inc.
4.2",Plano,TX,"Tempe, AZ",10000,1988,36,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD)
Data Scientist/Machine Learning,$137K-$171K (Glassdoor est.),"PulsePoint™, a global programmatic advertising platform with specialized healthcare expertise, fuses the science of programmatic targeting, distribution, and optimization with the art of brand engagement. The PulsePoint platform is powered by terabytes of impression-level data, allowing brands to efficiently engage the right audiences at scale while helping publishers increase yield through actionable insights.

Our organization has a strong history of utilizing machine learning, contextualization, and targeting to distribute advertising to the right consumers at the right time and create real connections across the internet. We are now taking that knowledge and expertise to solve challenges within healthcare in order to create better health outcomes through Radical Health Personalization™.

The goals of the PulsePoint Data Science team:
Optimize and validate targeting mechanisms for specific health conditions;
Improve and optimize our proprietary contextualization and recommendation engines that handle millions of transactions per second, trillions each month;
Improve and optimize our buying platform to ensure cost efficiency and to deliver ad campaigns within budget, target and time constraints;
Collaborate with internal Health experts to design and support rapid assessment, analysis, and prototyping of ideas for achievable commercialization.
What you'll be working on:
Improve existing or develop new traffic segmentation algorithms and estimations of bid landscapes within each segment;
Optimize real-time bidding strategies to efficiently spend ad budgets delivering campaign targets given various constraints;
Support and enhance the existing work on health user profiling, prediction, and targeting tools;
Improve page contextualizer technology: work with healthcare topics detection algorithms, keywords/phrases extraction, general and aspect-based sentiment analysis;
Contribute on projects relating to patient/physician identity for cross-device tracking, profiling and targeting;
Support existing codebase for data integration and production support for our core models.



What you need to be successful in this role:
3+ years of full-time experience working as a Statistician/ Machine Learning
Engineer/ Data Scientist;
Advanced knowledge of Big Data technologies such as Hadoop, Hive/Impala and
Spark;
Advanced knowledge of Python using the numpy/scipy/pandas/sklearn stack;
Advanced knowledge of classical ML models (logistic regression, decision trees,
boosting, bagging, SVM, Bayesian methods, etc) and at least basic knowledge in
different Neural Network models (CNN, RNN, auto-encoders, transformers);
Being confident user of Unix-like systems, Dockers, git, bash;
MS/PhD in Applied Mathematics, Statistics, Machine Learning, Computer Science,
Physics; or BS with several years of applied machine learning experience

What we offer:
Sane work hours
Generous paid vacation/company holidays
Vacation reimbursement, sabbatical, pawternity leave, marriage leave, honeymoon bonus
Comprehensive healthcare with 100%-paid medical, vision, life & disability insurance
$2,000 annual training and development budget
Complimentary annual memberships to One Medical, NY Citi Bike and SF Ford GoBike
Monthly chair massages
Free fitness classes (spin, yoga, boxing)
Gym reimbursement, local gym membership discounts
Onsite flu shots, dental cleanings and vision exams
Annual company retreat
Paid parental leave and a lot of new parent perks
Emergency childcare credits
401(k) Match and free access to a financial advisor
Volunteer Time Off and Donation Matching, ongoing group volunteer opportunities
Team lunches, Sip & Social Thursdays, Game Nights, Movie Nights
Healthy snacks and drinks
And there's a lot more!",4.3,Excellent,"PulsePoint
4.3",New York,NY,"New York, NY",200,2011,13,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
Business Intelligence Analyst I- Data Insights,$137K-$171K (Glassdoor est.),"Position Summary

Individuals within the
Business Intelligence (BI) Analyst I role provide business intelligence,
reporting, and data analysis needs for Customer Service and Delivery. They work
closely with BI Consultants, end users, and IT teams to turn data into critical
information and knowledge that can be used to make sound business decisions. It
is essential that BI Analysts build an understanding of the CSD organization at
a level of detail that enables them to identify and address critical issues.
They provide data that is accurate, congruent and reliable, and ensure the
information is easily available to users for direct consumption or integration
with other systems. BI Analysts educate and train business partners and clients
to use the data as an analytical tool, displaying the information in new forms
and content for analysis and option exploration.

BI Analysts work with
users to determine business requirements, priorities, define key performance
indicators (KPI), and develop BI and data warehouse (DW) strategy. They conduct
analyses of functional business processes and functional business requirements
and participate in the development of business cases in the support of process
changes. This includes working with business and development teams to design,
and document dashboards, alerts, and reports. This individual is accountable
for providing leadership and independent initiatives in facilitating
information gathering, structured documentation and presentation of findings to
all levels of management.

BI Analysts understand
how data is turned into information and knowledge and how that knowledge
supports and enables key business processes. They must have understanding of
the business environment and an interest in going beyond the obvious, delving
into the source, the definition, philosophy, and foundational roots of a data
element to create information. They must work well within a team environment.

Candidate Responsibilities
Provides design support
for the development of business intelligence solutions.
Works on small to
mid-sized and cross-functional IT and business intelligence solutions.
Works on multiple
tasks/projects as team member.
Participates in
workstream planning process including inception, technical design, development,
testing and delivery of BI solutions.
May participate in
project management estimation process.
Works with internal and
external customers and IT partners to develop and analyze business intelligence
needs.
Provides input to
business requirements for the design of solutions.
Interprets business
requirements and determines optimum BI solutions to meet needs.
Identifies and provides
input to new technology opportunities that will have an impact on the
Enterprise wide BI systems.
Designs Institute-wide
views and custom reports.
May perform analysis
for a wide range of requests using data in different formats and from various
platforms.
Researches business
problems and creates models that help analyze these business problems.
Provides input to the
development of information quality metrics.
Researches tools,
frameworks and mechanisms for data analytics.
Adheres to current
standards.
Provides input to
standards, policies and procedures for the form, structure, and attributes of
the BI tools and systems.
Designs and delivers
end-user training and training materials.
Trains users to
transform data into action-oriented information and to use correctly.

Functional Skills
General knowledge of
supported business functions, systems, and transactions
Familiar with
technology system processes, reporting functions, and methodologies
Works
effectively with associates from across the CGM Profit Center and with business
and IT partners",3.5,Very Good,"Guardian Life
3.5",Appleton,WI,"New York, NY",10000,1860,164,Company - Private,Insurance Carriers,Insurance,$5 to $10 billion (USD)
